190,Dromococcyx pavoninus ,peixe-frito-pavonino,"Pelzeln, 1870",,129,1
191,Dromococcyx phasianellus ,peixe-frito-verdadeiro,"Spix, 1824",,129,1
192,Drymophila malura ,choquinha-carijó,"Temminck, 1825",,130,1
193,Drymophila rubricollis ,trovoada-de-bertoni,"Bertoni, 1901",,131,1
194,Drymornis bridgesii ,arapaçu-do-espinilho,"Eyton, 1850",,132,1
195,Dryocopus galeatus,pica-pau-de-cara-amarela,"Temminck, 1822",,133,1
196,Dryocopus lineatus ,pica-pau-de-banda-branca,"Linnaeus, 1766",,56,1
197,Dysithamnus mentalis ,choquinha-lisa,"Temminck, 1823",,134,1
198,Egretta caerulea,garça-azul,"Linnaeus, 1758",,135,1
199,Egretta thula ,garça-branca-pequena,"Molina, 1782",,136,1
200,Elaenia chilensis ,guaracava-de-crista-branca,"Hellmayr, 1927",,137,1
201,Elaenia flavogaster ,guaracava-de-barriga-amarela,"Thunberg, 1822",,137,1
202,Elaenia mesoleuca ,tuque,"Deppe, 1830",,137,1
203,Elaenia obscura,tucão,"d'Orbigny & Lafresnaye, 1837",,137,1
204,Elaenia parvirostris ,guaracava-de-bico-curto,"Pelzeln, 1868",,137,1
205,Elaenia spectabilis ,guaracava-grande,"Pelzeln, 1868",,137,1
206,Elanoides forficatus ,gavião-tesoura,"Linnaeus, 1758",,138,1
207,Elanus leucurus ,gavião-peneira,"Vieillot, 1818",,139,1
208,Eleoscytalopus indigoticus,macuquinho,"Wied, 1831",,140,1
209,Emberizoides herbicola ,canário-do-campo,"Vieillot, 1817",,141,1
210,Emberizoides ypiranganus ,canário-do-brejo,"Ihering & Ihering, 1907",,141,1
211,Embernagra platensis ,sabiá-do-banhado,"Gmelin, 1789",,141,1
212,Empidonomus varius ,peitica,"Vieillot, 1818",,142,1
213,Estrilda astrild ,bico-de-lacre,"Linnaeus, 1758",,143,1
214,Eupetomena macroura ,beija-flor-tesoura,"Gmelin, 1788",,144,1
215,Euphonia chalybea ,cais-cais,"Mikan, 1825",,145,1
216,Euphonia chlorotica ,fim-fim,"Linnaeus, 1766",,145,1
217,Euphonia cyanocephala ,gaturamo-rei,"Vieillot, 1818",,145,1
218,Euphonia pectoralis ,gaturamo-serrador ou ferro-velho,"Latham, 1801",,145,1
219,Euphonia violacea ,gaturamo-verdadeiro,"Linnaeus, 1758",,145,1
220,Euscarthmus meloryphus ,barulhento,"Wied, 1831",,146,1
221,Falco deiroleucus ,falcão-de-peito-vermelho,"Temminck, 1825",,147,1
222,Falco femoralis ,falcão-de-coleira,"Temminck, 1822",,147,1
223,Falco peregrinus ,falcão-peregrino,"Tunstall, 1771",,147,1
224,Falco rufigularis ,falcão-de-garganta-branca,"Daudin, 1800",,147,1
225,Falco sparverius ,quiriquiri,"Linnaeus, 1758",,147,1
226,Florisuga fusca ,beija-flor-preto-de-rabo-branco,"Vieillot, 1817",,148,1
227,Fluvicola albiventer ,lavadeira-de-cara-branca,"Spix, 1825",,149,1
228,Formicarius colma ,galinha-do-mato,"Boddaert, 1783",,150,1
229,Fulica armillata ,carqueja-de-bico-manchado,"Vieillot, 1817",,151,1
230,Fulica leucoptera ,carqueja-de-bico-amarelo,"Vieillot, 1817",,151,1
231,Fulica rufifrons ,carqueja-de-escudo-vermelho,"Philippi & Landbeck, 1861",,151,1
232,Furnarius rufus ,joão-de-barro,"Gmelin, 1788",,152,1
233,Gallinago paraguaiae ,narceja,"Vieillot, 1816",,153,1
234,Gallinago undulata ,narcejão,"Boddaert, 1783",,153,1
235,Gallinula galeata ,galinhola ou frango-d'água,"Lichtenstein,1818",,154,1
236,Gallinula melanops,frango-d'água-carijó,"Vieillot, 1819",,154,1
237,Gelochelidon nilotica,trinta-réis-de-bico-preto,"Gmelin, 1789",,155,1
238,Geositta cunicularia ,curriqueiro,"Vieillot, 1816",,156,1
239,Geothlypis aequinoctialis ,pia-cobra,"Gmelin, 1789",,157,1
240,Geotrygon montana ,pariri,"Linnaeus, 1758",,158,1
241,Geranoaetus albicaudatus ,gavião-de-rabo-branco,"Vieillot, 1816",,159,1
242,Geranoaetus melanoleucus,águia-chilena,"Vieillot, 1819",,159,1
243,Geranospiza caerulescens ,gavião-pernilongo,"Vieillot, 1817",,160,1
244,Glaucidium brasilianum ,caburé,"Gmelin, 1788",,161,1
245,Gnorimopsar chopi ,chopim ou graúna,"Vieillot, 1819",,162,1
246,Grallaria varia,tovacuçu,"Boddaert, 1783",,163,1
247,Griseotyrannus aurantioatrocristatus ,peitica-de-chapéu-preto,"d'Orbigny & Lafresnaye, 1837",,164,1
248,Gubernatrix cristata ,cardeal-amarelo,"Vieillot, 1817",,165,1
249,Gubernetes yetapa ,tesoura-do-brejo,"Vieillot, 1818",,166,1
250,Guira guira ,anu-branco,"Gmelin, 1788",,167,1
251,Habia rubica,tiê-do-mato-grosso,"Vieillot, 1817",,168,1
252,Haematopus palliatus ,piru-piru,"Temminck, 1820",,169,1
253,Haplospiza unicolor,cigarra-bambu," Cabanis, 1851",,170,1
254,Harpagus diodon,gavião-bombachinha,"Temminck, 1823",,171,1
255,Harpia harpyja ,gavião-real,"Linnaeus, 1758",,172,1
256,Heliobletus contaminatus ,trepadorzinho,"Berlepsch, 1885",,173,1
257,Heliomaster furcifer ,beija-flor-de-barba-azul,"Shaw, 1812",,174,1
258,Hemithraupis guira ,papo-preto,"Linnaeus, 1766",,175,1
259,Hemithraupis ruficapilla ,saíra-ferrugem,"Vieillot, 1818",,175,1
260,Hemitriccus diops,olho-falso,"Temminck, 1822",,177,1
261,Hemitriccus margaritaceiventer ,olho-de-ouro,"d'Orbigny & Lafresnaye, 1837",,176,1
262,Hemitriccus obsoletus ,catraca,"Miranda-Ribeiro, 1906",,176,1
263,Hemitriccus orbitatus ,tiririzinho-do-mato,"Wied, 1831",,176,1
264,Herpetotheres cachinnans ,acauã,"Linnaeus, 1758",,178,1
265,Heteronetta atricapilla ,marreca-de-cabeça-preta,"Merrem, 1841",,179,1
266,Heterospizias meridionalis ,gavião-caboclo,"Latham, 1790",,180,1
267,Himantopus melanurus ,pernilongo,"Vieillot, 1817",,181,1
268,Hirundinea ferruginea,birro,"Gmelin, 1788",,182,1
269,Hirundo rustica,andorinha-de-bando,"Linnaeus, 1758",,183,1
270,Hydropsalis albicollis ,bacurau,"Gmelin, 1789",,184,1
271,Hydropsalis anomala ,curiango-do-banhado,"Gould, 1838",,184,1
272,Hydropsalis forcipata ,bacurau-tesoura-gigante,"Nitzsch, 1840",,184,1
273,Hydropsalis longirostris ,bacurau-da-telha,"Bonaparte, 1825",,184,1
274,Hydropsalis parvula ,bacurau-pequeno,"Gould, 1837",,184,1
275,Hydropsalis torquata ,bacurau-tesoura,"Gmelin, 1789",,184,1
276,Hylocharis chrysura ,beija-flor-dourado,"Shaw, 1812",,185,1
277,Hylopezus nattereri ,pinto-do-mato,"Pinto, 1937",,186,1
278,Hylophilus poicilotis ,verdinho-coroado,"Temminck, 1822",,187,1
279,Hymenops perspicillatus ,viuvinha-de-óculos,"Gmelin, 1789",,188,1
280,Hypoedaleus guttatus ,chocão-carijó,"Vieillot, 1816",,189,1
281,Icterus pyrrhopterus  ,encontro,"Vieillot, 1819",,190,1
282,Ictinia plumbea,sovi,"Gmelin, 1788",,191,1
283,Ixobrychus exilis ,socoí-vermelho,"Gmelin, 1789",,192,1
284,Ixobrychus involucris ,socoí-amarelo,"Vieillot, 1823",,192,1
285,Jabiru mycteria ,jabiru ou tuiuiú,"Lichtenstein, 1819",,193,1
286,Jacana jacana ,jaçanã,"Linnaeus, 1766",,194,1
287,Knipolegus cyanirostris ,maria-preta-de-bico-azulado,"Vieillot, 1818",,195,1
288,Knipolegus lophotes ,maria-preta-de-penacho,"Boie, 1828",,195,1
289,Knipolegus nigerrimus ,maria-preta-de-garganta-vermelha,"Vieillot, 1818",,195,1
290,Lanio cucullatus ,tico-tico-rei,"Statius Muller, 1776",,196,1
291,Lanio melanops ,tiê-de-topete,"Vieillot, 1818",,196,1
292,Larus atlanticus,gaivota-de-rabo-preto," Olrog, 1958",,197,1
293,Larus dominicanus ,gaivotão,"Lichtenstein, 1823",,197,1
294,Laterallus leucopyrrhus ,pinto-d'água-avermelhado,"Vieillot, 1819",,198,1
295,Laterallus melanophaius,pinto-d'água-comum,"Vieillot, 1819",,199,1
296,Lathrotriccus euleri ,enferrujado,"Cabanis, 1868",,200,1
297,Legatus leucophaius ,bem-te-vi-pirata,"Vieillot, 1818",,201,1
298,Lepidocolaptes angustirostris ,arapaçu-do-cerrado,"Vieillot, 1818",,202,1
299,Lepidocolaptes falcinellus ,arapaçu-escamoso-do-sul,"Cabanis & Heine, 1859",,202,1
300,Leptasthenura platensis,rabudinho," Reichenbach, 1853",,203,1
301,Leptasthenura setaria ,grimpeiro,"Temminck, 1824",,203,1
302,Leptasthenura striolata,grimpeirinho,"Pelzeln, 1856",,203,1
303,Leptodon cayanensis ,gavião-de-cabeça-cinza,"Latham, 1790",,204,1
304,Leptopogon amaurocephalus ,cabeçudo,"Tschudi, 1846",,205,1
305,Leptotila rufaxilla,juriti-gemedeira,"Richard & Bernard, 1792",,207,1
306,Leptotila verreauxi ,juriti-pupu,"Bonaparte, 1855",,206,1
307,Lessonia rufa ,colegial,"Gmelin, 1789",,208,1
308,Leucochloris albicollis ,beija-flor-de-papo-branco,"Vieillot, 1818",,209,1
309,Leucophaeus pipixcan ,gaivota-de-franklin,"Wagler, 1831",,210,1
310,Limnoctites rectirostris ,arredio-do-gravatá,"Gould, 1839",,211,1
311,Limnodromus griseus ,maçarico-de-costas-brancas,"Gmelin, 1789",,212,1
312,Limnornis curvirostris ,joão-da-palha,"Gould, 1839",,213,1
313,Limosa haemastica ,maçarico-de-bico-virado,"Linnaeus, 1758",,214,1
314,Lochmias nematura ,joão-porca,"Lichtenstein, 1823",,215,1
315,Lophornis magnificus,topetinho-vermelho,"Vieillot, 1817",,216,1
316,Lurocalis semitorquatus ,tuju,"Gmelin, 1789",,217,1
317,Machetornis rixosa ,suiriri-cavaleiro,"Vieillot, 1819",,218,1
318,Mackenziaena leachii ,brujarara-assobiador,"Such, 1825",,219,1
319,Mackenziaena severa ,borralhara,"Lichtenstein, 1823",,220,1
320,Manacus manacus ,rendeira,"Linnaeus, 1766",,221,1
321,Megaceryle torquata ,martim-pescador-grande,"Linnaeus, 1766",,222,1
322,Megarynchus pitangua ,neinei,"Linnaeus, 1766",,223,1
323,Megascops choliba ,corujinha-do-mato,"Vieillot, 1817",,224,1
324,Megascops sanctaecatarinae ,corujinha-do-sul,"Salvin, 1897",,224,1
325,Melanerpes candidus ,pica-pau-branco,"Otto, 1796",,225,1
326,Melanerpes flavifrons ,benedito-de-testa-amarela,"Vieillot, 1818",,225,1
327,Mesembrinibis cayennensis,coró-coró,"Gmelin, 1789",,226,1
328,Micrastur ruficollis ,gavião-caburé,"Vieillot, 1817",,227,1
329,Micrastur semitorquatus ,gavião-relógio,"Vieillot, 1817",,227,1
330,Micrococcyx cinereus ,papa-lagarta-cinzento,"Vieillot, 1817",,228,1
331,Milvago chimachima ,carrapateiro,"Vieillot, 1816",,229,1
332,Milvago chimango ,chimango,"Vieillot, 1816",,229,1
333,Mimus saturninus ,sabiá-do-campo,"Lichtenstein, 1823",,230,1
334,Mimus triurus ,calhandra-de-três-rabos,"Vieillot, 1818",,230,1
335,Mionectes rufiventris ,supi-de-cabeça-cinza,"Cabanis, 1846",,231,1
336,Molothrus oryzivorus ,iraúna-grande,"Gmelin, 1788",,232,1
337,Molothrus oryzivorus ,vira-bosta,"Gmelin, 1789",,232,1
338,Molothrus rufoaxillaris ,vira-bosta-picumã,"Cassin, 1866",,233,1
339,Morphnus guianensis ,uiraçu-falso,"Daudin, 1800",,234,1
340,Muscipipra vetula ,tesoura-cinzenta,"Lichtenstein, 1823",,235,1
341,Mycteria americana ,cabeça-seca,"Linnaeus, 1758",,236,1
342,Myiarchus ferox ,maria-cavaleira,"Gmelin, 1789",,237,1
343,Myiarchus swainsoni ,irré,"Cabanis & Heine, 1859",,237,1
344,Myiarchus tyrannulus ,maria-cavaleira-de-rabo-ferrugem,"Statius Muller, 1776",,238,1
345,Myiodynastes maculatus ,bem-te-vi-rajado,"Statius Muller, 1776",,239,1
346,Myiopagis caniceps,guaracava-cinzenta,"Swainson, 1835",,240,1
347,Myiopagis viridicata ,guaracava-de-crista-alaranjada,"Vieillot, 1817",,240,1
348,Myiophobus fasciatus ,filipe,"Statius Muller, 1776",,241,1
349,Myiopsitta monachus ,caturrita,"Boddaert, 1783",,242,1
350,Myiornis auricularis,miudinho,"Vieillot, 1818",,243,1
351,Myiozetetes similis ,bem-te-vi-pequeno,"Spix, 1825",,244,1
352,Myrmeciza squamosa ,papa-formiga-de-grota,"Pelzeln, 1868Pelzeln, 1868",,245,1
353,Myrmotherula gularis ,choquinha-de-garganta-pintada,"Spix, 1825",,246,1
354,Myrmotherula unicolor ,choquinha-cinzenta,"Ménétriès, 1835",,382,1
355,Nemosia pileata ,saíra-de-chapéu-preto,"Boddaert, 1783",,247,1
356,Neocrex erythrops,turu-turu,"Sclater, 1867",,248,1
